Number of lines;105264;
Date;Time;RGLB10
01.01.2016;00:00;0
01.01.2016;00:10;0
01.01.2016;00:20;0
01.01.2016;00:30;0
01.01.2016;00:40;0
01.01.2016;00:50;0
01.01.2016;01:00;0
01.01.2016;01:10;0
01.01.2016;01:20;0
01.01.2016;01:30;0
01.01.2016;01:40;0
01.01.2016;01:50;0
01.01.2016;02:00;0
01.01.2016;02:10;0
01.01.2016;02:20;0
01.01.2016;02:30;0
01.01.2016;02:40;0
01.01.2016;02:50;0
01.01.2016;03:00;0
01.01.2016;03:10;0
01.01.2016;03:20;0
01.01.2016;03:30;0
01.01.2016;03:40;0
01.01.2016;03:50;0
01.01.2016;04:00;0
01.01.2016;04:10;0
01.01.2016;04:20;0
01.01.2016;04:30;0
01.01.2016;04:40;0
01.01.2016;04:50;0
01.01.2016;05:00;0
01.01.2016;05:10;0
01.01.2016;05:20;0
01.01.2016;05:30;0
01.01.2016;05:40;0
01.01.2016;05:50;0
01.01.2016;06:00;0
01.01.2016;06:10;0
01.01.2016;06:20;0
01.01.2016;06:30;0
01.01.2016;06:40;0
01.01.2016;06:50;0
01.01.2016;07:00;0
01.01.2016;07:10;0
01.01.2016;07:20;0
01.01.2016;07:30;0
01.01.2016;07:40;2
01.01.2016;07:50;4
01.01.2016;08:00;4
01.01.2016;08:10;13
01.01.2016;08:20;22
01.01.2016;08:30;42
01.01.2016;08:40;51
01.01.2016;08:50;69
01.01.2016;09:00;84
01.01.2016;09:10;85
01.01.2016;09:20;92
01.01.2016;09:30;103
01.01.2016;09:40;100
01.01.2016;09:50;107
01.01.2016;10:00;152
01.01.2016;10:10;174
01.01.2016;10:20;104
01.01.2016;10:30;74
01.01.2016;10:40;75
01.01.2016;10:50;73
01.01.2016;11:00;95
01.01.2016;11:10;118
01.01.2016;11:20;102
01.01.2016;11:30;78
01.01.2016;11:40;74
01.01.2016;11:50;66
01.01.2016;12:00;58
01.01.2016;12:10;49
01.01.2016;12:20;39
01.01.2016;12:30;43
01.01.2016;12:40;46
01.01.2016;12:50;41
01.01.2016;13:00;43
01.01.2016;13:10;39
01.01.2016;13:20;33
01.01.2016;13:30;29
01.01.2016;13:40;21
01.01.2016;13:50;14
01.01.2016;14:00;10
01.01.2016;14:10;11
01.01.2016;14:20;14
01.01.2016;14:30;15
01.01.2016;14:40;15
01.01.2016;14:50;13
01.01.2016;15:00;9
01.01.2016;15:10;5
01.01.2016;15:20;5
01.01.2016;15:30;6
01.01.2016;15:40;4
01.01.2016;15:50;2
01.01.2016;16:00;1
01.01.2016;16:10;0
01.01.2016;16:20;0
01.01.2016;16:30;0
01.01.2016;16:40;0
01.01.2016;16:50;0
01.01.2016;17:00;0
01.01.2016;17:10;0
01.01.2016;17:20;0
01.01.2016;17:30;0
01.01.2016;17:40;0
01.01.2016;17:50;0
01.01.2016;18:00;0
01.01.2016;18:10;0
01.01.2016;18:20;0
01.01.2016;18:30;0
01.01.2016;18:40;0
01.01.2016;18:50;0
01.01.2016;19:00;0
01.01.2016;19:10;0
01.01.2016;19:20;0
01.01.2016;19:30;0
01.01.2016;19:40;0
01.01.2016;19:50;0
01.01.2016;20:00;0
01.01.2016;20:10;0
01.01.2016;20:20;0
01.01.2016;20:30;0
01.01.2016;20:40;0
01.01.2016;20:50;0
01.01.2016;21:00;0
01.01.2016;21:10;0
01.01.2016;21:20;0
01.01.2016;21:30;0
01.01.2016;21:40;0
01.01.2016;21:50;0
01.01.2016;22:00;0
01.01.2016;22:10;0
01.01.2016;22:20;0
01.01.2016;22:30;0
01.01.2016;22:40;0
01.01.2016;22:50;0
01.01.2016;23:00;0
01.01.2016;23:10;0
01.01.2016;23:20;0
01.01.2016;23:30;0
01.01.2016;23:40;0
01.01.2016;23:50;0
02.01.2016;00:00;0
02.01.2016;00:10;0
02.01.2016;00:20;0
02.01.2016;00:30;0
02.01.2016;00:40;0
02.01.2016;00:50;0
02.01.2016;01:00;0
02.01.2016;01:10;0
02.01.2016;01:20;0
02.01.2016;01:30;0
02.01.2016;01:40;0
02.01.2016;01:50;0
02.01.2016;02:00;0
02.01.2016;02:10;0
02.01.2016;02:20;0
02.01.2016;02:30;0
02.01.2016;02:40;0
02.01.2016;02:50;0
02.01.2016;03:00;0
02.01.2016;03:10;0
02.01.2016;03:20;0
02.01.2016;03:30;0
02.01.2016;03:40;0
02.01.2016;03:50;0
02.01.2016;04:00;0
02.01.2016;04:10;0
02.01.2016;04:20;0
02.01.2016;04:30;0
02.01.2016;04:40;0
02.01.2016;04:50;0
02.01.2016;05:00;0
02.01.2016;05:10;0
02.01.2016;05:20;0
02.01.2016;05:30;0
02.01.2016;05:40;0
02.01.2016;05:50;0
02.01.2016;06:00;0
02.01.2016;06:10;0
02.01.2016;06:20;0
02.01.2016;06:30;0
02.01.2016;06:40;0
02.01.2016;06:50;0
02.01.2016;07:00;0
02.01.2016;07:10;0
02.01.2016;07:20;0
02.01.2016;07:30;0
02.01.2016;07:40;0
02.01.2016;07:50;0
02.01.2016;08:00;1
02.01.2016;08:10;2
02.01.2016;08:20;6
02.01.2016;08:30;9
02.01.2016;08:40;14
02.01.2016;08:50;17
02.01.2016;09:00;26
02.01.2016;09:10;33
02.01.2016;09:20;35
02.01.2016;09:30;36
02.01.2016;09:40;40
02.01.2016;09:50;43
02.01.2016;10:00;52
02.01.2016;10:10;55
02.01.2016;10:20;51
02.01.2016;10:30;49
02.01.2016;10:40;46
02.01.2016;10:50;52
02.01.2016;11:00;57
02.01.2016;11:10;38
02.01.2016;11:20;52
02.01.2016;11:30;57
02.01.2016;11:40;59
02.01.2016;11:50;62
02.01.2016;12:00;66
02.01.2016;12:10;62
02.01.2016;12:20;66
02.01.2016;12:30;68
02.01.2016;12:40;61
02.01.2016;12:50;59
02.01.2016;13:00;49
02.01.2016;13:10;43
02.01.2016;13:20;40
02.01.2016;13:30;42
02.01.2016;13:40;39
02.01.2016;13:50;36
02.01.2016;14:00;33
02.01.2016;14:10;27
